element,kanjilist
⺌,梢嘗峭絖滉当晄輝档恍宵當逍嫦洸悄廠晃瞠光鞘蟐肖敞幌甞裳趙消償掌蛸襠霄螳硝幤棠胱削賞礑儻淌耀銷厰常鐺誚尚蟷党堂鮹鎖黨稍
⺍,巌誉獣単蛍脳悩褝挙禅図鴬剿弾鼡栄珱戦猟巣樔蝋蝉労覚箪畄桜営騨勦撹厳学
⺕,肆褄晝畫箒淨君簫肇龝艝肅伊筝筆当律睫葎贐档帰肄簾龜糠鍵桾箏禄静瀞彗妻悽瀟争兼壗糖鬮駸掃裙剥燼隠蕁健賺書潯繍寢寝緑急唐嫌棲崢錚傭隸歉穩康粛庚慊鱇穏隶膤慷蕭隷歸庸録轌笋棣慵儘捷塘腱濂鱈窘夛廉婦萋隱劃慧浸浄侵羣鎌聿事爭溏縁靜亊凄嘯秉諍雪菷蒹郡逮津淒建群盡尋靆尹帚謙
⺗,添忝慕恭
⺤,綏淨瞹瞬乳桴鷄綵稲孚俘靉蜉醤稱蹈箏蒋瀞暖艀溪稻奚湲鶏彩菜奨隠浮遥媛辭崢錚渓穩瑶曖穏蕣餒緩授嚼韜採覓滔殍谿霪隱譌埓受婬舜埒蹊謡僞采孵援爭愛妥煖靜揺爵諍亂郛爰将爲淫綬
⺦,醤蒋壮奨寝荘状装将
⺨,狼狩獺獵嶽狷獰逖狽獪狙獲猩猜猛蕕猖犯潴猗猊犹猝猟猴猯狎狃狂猶狄猾猪猥犲狆荻猫猿獗狛狠狡獏獨狗狢狭獅狒獄誑狹独狸狐
⻌,逐逸速追述逝逆逓迩逃通縫途退透送迷遥蓮避髄遠遼遵巡遷遣遺遮遭迅還遊道遇選運遅随辺迎違適達遂遍過込鑓週迪近進迫導鎚返逮連造迭
⻏,祁都廓槨部郵饗郷鄒嚮邸廊螂邦邪那響瑯邯耶鄂榔邱鄲鄰擲郊鄙郎鄭郁邵邨蔀爺躑梛郤揶娜郡郛郭郢椰
⻖,嶐阨蔭橢薩隣婀陵隈窿険隠陷陣痾院陶隙陲陦陽陪陳隘陥陬墜隧陰險除隍陜陀陛陏隗階障隕降陂隨隴隔随際隋陞隰墮隱陝隅隊附限陋陸陟隲陌隆阮阡阯阻阿阪堕防
マ,務羚聆桶袤橘鞣零嶺嶷通誦抒柔予豫鶩湧苓糅樋擬慂鷸踊序鯒辭澪蛹礙楙懋癡蕷勇譎舒怜甬令揉凝霧矜矛涌杼痛踴蛉預俑疑茅玲鈴亂伶蹂囹冷
㐬,旒醯蔬流硫毓疏棄梳琉
㓁,深探
㔾,犯
㕣,船鉛沿
䍃,謡揺
