kanji,kanjilist
㐬,旒醯蔬流硫毓疏棄梳琉
㓁,深探
丁,欹聹檸奇綺貯竒倚獰濘亭嵜寄竚謌打羇柯彁椅碕苧婀掎紵釘訂痾呵灯猗埼軻庁寧苛渟佇舸嚀訶剞歌渮停可荷甼崎何町叮騎河畸酊珂阿疔哥頂汀
七,謔廬切虚虎虍虔虜處獻宅詫爐虐號濾臚饕虞罅鑢侘墟遽戯轤叱託膚據櫨鱸戲鑪咤窃遞慮劇顱驢蘆歔鯱叱瘧琥梍褫盧亳彪艫醵嘘托砌虧瀘
万,蛎砺栃杤励
丈,吏使杖仗
三,講攘菫撲孃峯鋳壤蓁醸騫槿彗縫実蹼謇謹蚌禳烽践畴奏素瑾樸春塞購壌泰嬢篝纛懃邦遘陦寒賽搴秦譲銭媾蓬覯拝残榛搆寨僅穰覲涛惷璞襄穣讓棒曩捧篷舂寿慧浅蠢構驤蹇羮蜂濮冓賎勤毒鋒祷輳梼俸齧僕峰囓逢臻鰆承釀溝湊饉桟椿奉
上,寂蹙峠椒俶督戚叔槭菽垰裃鞐淑
下,峠抃丐圷颪梺卞垰雫裃鞐閇
不,抔歪胚丕痞杯盃坏否罘
与,写
丑,鈕羞忸狃紐衄
且,齟柤砠畳祖宜蛆組沮徂狙姐岨莇粗耡租咀雎渣苴俎助萓疽鋤誼疊詛爼阻勗疂査
丕,歪胚
世,鰈紲緤楪蝶諜笹牒渫葉泄貰喋
丗,帯滞棄
丘,鋲梹兵岳浜邱蚯駈
丙,柄炳陋病鞆
丞,拯蒸烝
両,輌満
並,譜椪普
中,褸蟯蜷蟠縷饋蚩蚕騷蜴蜻蜈蛎蚶蛍嵐蜉瘋簣蟒蜥虹蛆蛇蚓蚊蜘蜿藪蟹蚌蛋蚰蛄蚋蟐髑飄螺蝨蛮婁仲蛭諷蝕融螂颱譴數蝗螻蟀蝎樓蛛蛯蛔掻蠑蠅蠹飆髏颶籔蠕潰蛬蛹蛸蛟蛤蠏蝓蟋蟄螟飃窶蝌蟆螽蠖蠍遣遺忠強蛞蠎蟇蝟蝸蝋螳風蝉螢匱蠧濁蝴蝠燭蝶繭蠱蛩串蛻蝮蝣螯鏤颪僂蝪螫蠻蛙屬繦蠡蝦襁颯蝿蠣狆蛾矚蠢蠶嗤鑓蝙楓触蜂蜍蛉冲蚯蜚患蜃蟻躅雖蜜蜩蟶獨貴蚣虻蟷蜀觸簍蟾櫃虫蚪瞶虱蜑蟲瘻騒蜊迚蚤蚫独沖囑櫁蜒蜆
丱,墟關歔聯
串,褸縷藪婁數螻樓髏籔窶鏤僂患簍瘻
丸,贄藝執埶囈蟄塾鷙笂熟勢熱孰褻摯
丹,旃栴
主,往駐注註住麈柱
乂,政巌瞥撒贇徽駆彌吏晞黐務孜肇苅欝攪放絛獵刄虔贅鞭离暾脳刹悩扨燉收熬鰲鐓肴漓徼駁馼禰靱図徴吝蚊悋攷蔽躯攵倏藪廠魑禽哽暼檠恟學鶩攻网斐敞鬣史繁剱胸敝斑斌文數使篦黌樊赦蓖擒蓚繖嗷唏瑙粳緕救故驚竅斂薇敕籔牧凶礬杖敏斎顏鼈斃警敖枚鯑篠匁気駛巖覈敗釼碯釐敦幤激甦弊腦便鷽済鼇教敬偐薮璽邇弑嚴澂螯緻籬傲数敘硬整效變覺対璃劔紊螫区霧儼遨更鴎幣敵殺傚斈敷散紋剏枢匈憫仭霰淆邀仗丈轍惱鑞敢做斉殴改梗洶瞰嫩厰畋檄峺筱艾攸欧離閔濔愍臘爻徹兇貔撤厳爼橄悠綮希椶稀旻刈檎瀲致衂啓倣欷攀修脩條爽微瀰懲爾黴滌
乃,孕秀誘透朶銹盈携楹莠綉躱仍
久,粂灸畝玖柩疚
之,芝泛貶乏
乍,祚柞酢鮓搾窄炸胙怎作昨咋筰詐
乎,罅呼
乏,泛貶
乕,逓
乖,埀
乗,剰
乘,剩
九,尻抛贄染旭伜馗藝翆執丸粋埶囈蟄忰塾鷙枠究笂卆軌砕鳩仇熟勢熱孰褻摯雑酔
乞,乾吃訖屹迄
也,馳髢池葹施釶弛地他
亀,穐
了,務袤橘鞣抒孑柔予豫鶩糅墅凾丞鷸拯序楙懋蕷譎舒揉霧矜矛杼預茅蒸烹承蹂烝亨野
予,務袤橘鞣抒柔豫鶩糅墅鷸序楙懋蕷譎舒揉霧矜矛杼預茅蹂野
争,筝静浄
于,芋吁宇迂紆盂
云,蔭靉曇魂伝罎雲桧壜会藝囈耘陰紜繧転芸絵靆
互,亙恆冱沍
五,衙伍悟梧唔牾寤圄珸齬晤語吾
井,囲穽耕丼畊
亘,暄垣恒喧萱諠宣愃桓
亙,恆
亜,唖悪壷
亞,椏鐚惡錏堊壼壺
亟,極
亡,瀛肓罔盲妄茫魍芒網贏鋩侫氓荒慌忙忘惘虻望羸
亢,抗航杭吭坑頏伉
交,較鵁絞効佼駮蛟纐咬郊校效傚餃皎狡鮫
亥,孩該核駭劾咳骸垓刻
亦,奕恋湾蛮変弯迹跡
亨,烹
享,椁暾廓槨燉鐓淳惇敦塾醇熟孰鶉郭諄
京,黥蹴凉椋就鯨鷲涼掠諒憬勍影鍄景
亭,渟停
亮,喨
亶,羶擅壇顫氈檀
仁,佞
仄,昃
今,衿蔭衾頷黔吟貪莟唸岑陰棯捻矜鯰念稔琴含
介,疥堺价芥界畍
